Council	Year	Category	Breed	total	female	male	desexed	chipped	menacing	dangerous	probationary	disqualified	registered	infringements	prosecutions	destruction	injuries	paid_any_yr	paid_this_yr
Ashburton District	2001	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	34	2402	0
Ashburton District	2002	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	21	3176	0
Ashburton District	2003	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	27	14647	0
Ashburton District	2004	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	35	3765	0
Ashburton District	2005	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	48	6438	0
Ashburton District	2006	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	59	8007	11480
Ashburton District	2007	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	83	7653	8168
Ashburton District	2008	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	66	14612	14654
Ashburton District	2009	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	62	18306	12207
Ashburton District	2010	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	81	14004	17814
Ashburton District	2011	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	87	28256	14311
Ashburton District	2012	JST	_	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Ashburton District	2012	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	68	116755	36468
Ashburton District	2013	DOG	_ALL-PURE_	5158	2488	2670	1477	2142	20	2	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	_ALL-CROSS_	1865	966	899	831	1137	21	2	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	_ALL-DOGS_	7023	3454	3569	2308	3279	41	4	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Beagle	46	23	23	20	36	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Bichon Frise	161	82	79	59	109	1	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Boxer	54	24	30	25	39	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Cattle, Australian	39	14	25	14	15	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Chihuahua, Long Coat	11	4	7	2	8	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Chihuahua, Smooth Coat	31	20	11	14	27	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Collie, Bearded	55	30	25	9	6	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Collie, Border	904	430	474	110	99	1	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Collie, Rough	21	8	13	5	9	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Collie, Smooth	14	4	10	0	1	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Greyhound	165	75	90	2	97	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Heading	239	122	117	16	14	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Huntaway	492	199	293	57	37	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Maltese	45	24	21	19	25	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Poodle, Miniature	11	5	6	5	8	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Poodle, Toy	29	16	13	10	18	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Retriever, Golden	113	57	56	46	65	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Retriever, Labrador	677	342	335	248	367	1	1	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Rottweiler	79	31	48	21	59	3	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Schnauzer, Miniature	67	36	31	22	43	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Shepherd, German	112	52	60	40	71	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Shih Tzu	29	15	14	14	19	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Spaniel, Cavalier King Charles	22	5	17	6	15	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Spaniel, Cocker	99	53	46	35	66	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Spaniel, English Springer	50	23	27	20	23	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Terrier, American Pit Bull	15	4	11	10	14	9	1	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Terrier, Fox (Smooth)	187	99	88	80	78	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Terrier, Jack Russell	376	182	194	162	197	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Terrier, Staffordshire Bull	107	57	50	50	67	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	Terrier, West Highland White	28	11	17	15	14	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	DOG	_Unidentified_	880	441	439	341	496	5	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	OWN	_	0	0	0	0	0	0	0	0	16	4501	50	0	0	0	0	0
Ashburton District	2013	JST	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2013	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	85	14040	82394
Ashburton District	2014	DOG	_ALL-PURE_	3974	1908	2066	1158	1775	22	1	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	_ALL-CROSS_	1410	726	684	670	858	16	2	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	_ALL-DOGS_	5384	2634	2750	1828	2633	38	3	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Beagle	33	18	15	15	27	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Bichon Frise	123	59	64	54	85	1	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Boxer	43	18	25	18	31	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Cattle, Australian	26	8	18	7	8	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Chihuahua, Long Coat	12	6	6	3	8	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Chihuahua, Smooth Coat	27	14	13	11	23	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Collie, Bearded	46	25	21	9	5	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Collie, Border	690	339	351	96	83	1	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Collie, Rough	18	5	13	6	10	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Collie, Smooth	7	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Greyhound	152	76	76	2	122	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Heading	194	98	96	13	10	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Huntaway	415	191	224	57	41	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Maltese	34	22	12	14	21	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Poodle, Miniature	9	3	6	1	4	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Poodle, Toy	24	14	10	11	15	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Retriever, Golden	85	39	46	30	55	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Retriever, Labrador	493	246	247	187	286	1	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Rottweiler	70	29	41	22	57	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Schnauzer, Miniature	54	27	27	27	40	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Shepherd, German	81	38	43	32	55	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Shih Tzu	20	9	11	9	14	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Spaniel, Cavalier King Charles	13	5	8	4	8	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Spaniel, Cocker	79	47	32	30	55	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Spaniel, English Springer	43	20	23	16	24	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Terrier, American Pit Bull	13	4	9	8	11	11	1	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Terrier, Fox (Smooth)	134	68	66	61	63	0	0	0	0	0	0	0	0	0	0	0
